vegetal	final_wcvp_accepted_name
Mesosphaerum suaveolens	Mesosphaerum suaveolens
Pombalia prunifolia	Pombalia prunifolia
Ludwigia nervosa	Ludwigia nervosa
Ocimum basilicum	Ocimum basilicum
Paepalanthus paulensis	Paepalanthus paulensis
Pfaffia pulverulenta	Hebanthe pulverulenta
Eryngium junceum	Eryngium junceum
Schefflera vinosa	Didymopanax vinosus
Alomia fastigiata	Ageratum fastigiatum
Baccharis semiserrata	Baccharis gnidiifolia
Baccharis trinervis	Baccharis trinervis
Eupatorium itatiayensis	Symphyopappus itatiayensis
Eupatorium maximilianii	Chromolaena maximiliani
Mikania eriostrepta	Mikania eriostrepta
Piptocarpha macropoda	NA
Piptocarpha macropoda	(DC.) Baker
Vernonia polyanthes	Vernonanthura polyanthes
Vernonia ruficoma	Vernonanthura membranacea
Vernonia salzmannii	Lepidaploa salzmannii
Vernonia scorpioides	Cyrtocymura scorpioides
Vernonia westiniana	Vernonanthura westiniana
Tabebuia roseoalba	Tabebuia roseoalba
Pachira aquatica	Pachira aquatica
Protium heptaphyllum	Protium heptaphyllum
Croton paulinianus	Croton urucurana
Clethra scabra	NA
Clethra scabra	Pers.
Acosmium subelegans	Leptolobium elegans
Periandra mediterranea	Periandra mediterranea
Schizolobium denudatum	Tachigali denudata
Buddleja brasiliensis	NA
Byrsonima intermedia	Byrsonima intermedia
Tristachya leiostachya	Tristachya leiostachya
Roupala montana	Roupala montana
Bathysa meridionalis	Bathysa australis
Rudgea viburnoides	Rudgea viburnoides
Cupania vernalis	Cupania vernalis
Serjania lethalis	Serjania lethalis
Pouteria torta	Pouteria torta
Acnistus arborescens	Iochroma arborescens
Parkia pendula	Parkia pendula
Tapirira guianense	Tapirira guianensis
Jacaranda	NA
Alves, Rogério M. D. O., Waldschmidt, Ana M., Paixão, Joana F., Santos, Daiane R. and Carvalho, Carlos A. L.. """"""""Geographic Range and Nest Architecture of Cephalotrigona Capitata Smith, 1854 (Apidae: Meliponini) in the State of Bahia, Northeastern Brazil"""""""" Journal of Apicultural Science, vol.63, no.1, 3919, pp.49-60. https://doi.org/10.2478/jas-2019-0006	317373
Euterpe oleracea	Euterpe oleracea
Platonia insignis	Platonia insignis
Cenostigma tocantinum	Cenostigma tocantinum
Casearia grandiflora	Casearia grandiflora
Phthirusa micrantha	Cladocolea micrantha
Byrsonima ciliata	Byrsonima amoena
Byrsonima chrysophylla	Byrsonima chrysophylla
Byrsonima rotunda	Byrsonima rotunda
Miconia myrianthera	Miconia myriantha
Myrcia fallax	Myrcia splendens
Averrhoa carambola	Averrhoa carambola
Clusia insignis	Clusia insignis
Clusia grandifiora	Clusia grandiflora
Clusia panapanari	Clusia panapanari
Euterpe precatoria	Euterpe precatoria
Syzygium malaccense	Syzygium malaccense
Bixa orellana	Bixa orellana
Coffea arabica	Coffea arabica
Helianthus annuus	Helianthus annuus
Bertholletia excelsa	Bertholletia excelsa
Solanum lycopersicum	Solanum lycopersicum
Gossypium hirsutum	Gossypium hirsutum
Theobroma grandiflorum	Theobroma grandiflorum
Manihot esculenta	Manihot esculenta
Myrciaria dubia	Myrciaria dubia
Capsicum annuum	Capsicum annuum
Capsicum chinense	Capsicum chinense
Solanum melongena	Solanum melongena
Spondias mombin	Spondias mombin
Malpighia punicifolia	Malpighia glabra
Byrsonima crassifolia	Byrsonima crassifolia
Psidium guajava	Psidium guajava
Nephelium lappaceum	Nephelium lappaceum
Daucus carota	Daucus carota
Spondias tuberosa	Spondias tuberosa
Fragaria ananassa	Fragaria × ananassa
Persea americana	Persea americana
Caspicum annuum	Capsicum annuum
Citrus sinensis	Citrus x aurantium
Citrus reticulata	Citrus x aurantium f. deliciosa
Mangifera indica	Mangifera indica
Brassica napus	Brassica napus
Allium cepa	Allium cepa
Vouacapoua americana	Vouacapoua americana
Cucumis sativus	Cucumis sativus
Citrullus lanatus	Citrullus lanatus
Cocos nucifera	Cocos nucifera
Cucumis melo	Cucumis melo
Macadamia integrifolia	Macadamia integrifolia
Sechium edule	Sicyos edulis
Malpighia emarginata	Malpighia emarginata
Malpighia glabra	Malpighia glabra
Prunus persica	Prunus persica
Jatropha curcas	Jatropha curcas
Punica granatum	Punica granatum
Ananas ananassoides	Ananas comosus
Pouteria caimito	Pouteria caimito
Cucurbita maxima	Cucurbita maxima
Cucurbita moschata	Cucurbita moschata
Cucurbita pepo	Cucurbita pepo
Schinus terebinthifolius	Schinus terebinthifolia
Dipteryx alata	Dipteryx alata
Mauritia flexuosa	Mauritia flexuosa
Butia paraguayensis	Butia paraguayensis
Eugenia dysenterisca	Eugenia dysenterica
Anacardium occidentale	Anacardium occidentale
Campomanesia phaea	Campomanesia phaea
Copaifera langsdorffii	Copaifera langsdorffii
Crambe abyssinica	Crambe hispanica
Solanum sessiliflorum	Solanum sessiliflorum
Lippia alba	Lippia alba
Cajanus cajan	Cajanus cajan
Campomanesia pubescens	Campomanesia pubescens
Pisidium guajava	Psidium guajava
Acca sellowiana	Feijoa sellowiana
Paullinia cupana	Paullinia cupana
Myrciaria cauliflora	Plinia cauliflora
Ziziphus joazeiro	Sarcomphalus joazeiro
Citrus limonum	Citrus x limon
Citrus aurantifolia	Citrus × aurantiifolia
Passiflora edulis	Passiflora edulis
Passiflora giberti	Passiflora giberti
Passiflora coccinea	Passiflora coccinea
Cucubita melo	Cucurbita pepo
Vaccinium ashei	Vaccinium corymbosum
Byrsonima coccolobifolia	Byrsonima coccolobifolia
Moringa oleifera	Moringa oleifera
Blepharocalyx salicifolius	Blepharocalyx salicifolius
Attalea phalerata	Attalea phalerata
Euterpe edulis	Euterpe edulis
Bactris glaucescens	Bactris glaucescens
Pyrus pyrifolia	Pyrus pyrifolia
Capsicum frutescens	Capsicum frutescens
Eugenia uniflora	Eugenia uniflora
Stryphnodendron coriaceum	Gwilymia coriacea
Byrsonima correaefolia	Byrsonima correifolia
Delonix regia	Delonix regia
Borreria verticillata	Spermacoce verticillata
Asystasia gangetica	Asystasia gangetica
Spondias mombim	Spondias mombin
Elaeis oleifera	Elaeis oleifera
Bidens segetum	Bidens segetum
Vernonia ferruginea	Vernonanthura ferruginea
Vernonia petiolaris	Vernonanthura petiolaris
Caryocar brasiliense	Caryocar brasiliense
Kielmeyera grandiflora	Kielmeyera grandiflora
Kielmeyera rubriflora	Kielmeyera rubriflora
Terminalia argentea	Terminalia argentea
Alchornea schomburgkii	Alchornea discolor
Croton floribundus	Croton floribundus
Croton lanjouwensis	Croton matourensis
Euphorbia milii	Euphorbia milii
Bauhinia variegata	Bauhinia variegata
Caesalpinia peltophoroides	Cenostigma pluviosum
Crotalaria incana	NA
Crotalaria incana	L.
Peltophorum dubium	Peltophorum dubium
Hyptis cana	Hyptidendron canum
Hyptis crenata	Hyptis crenata
Banisteriopsis pubipetala	Diplopterys pubipetala
Byrsonima crassa	Byrsonima crassa
Mascagnia cordifolia	Mascagnia cordifolia
Miconia fallax	Miconia fallax
Myrcia amazonica	Myrcia amazonica
Zea mays	Zea mays
Genipa americana	Genipa americana
Solanum lycocarpum	Solanum lycocarpum
Solanum paniculatum	Solanum paniculatum
Thunbergia grandiflora	Thunbergia grandiflora
